ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
001	2025-12-22	[{PRS}] {Tutorial}: a guide to performing polygenic risk score analyses	Choi	2020	Nature Protocols	@choi_prs_2020	INCLUDE	2	3	OK	M	?	Ch03-PRSandPopulationStructure	
002	2025-12-22	Analysis of polygenic risk score usage and performance in diverse human populations	Duncan	2019	Nature Communications	@duncan_analysis_2019	INCLUDE	2	3	OK	M	?	Ch03-PRS	
003	2025-12-22	Polygenic prediction via Bayesian regression and continuous shrinkage priors	Ge	2019	Nature Communications	@ge_polygenic_2019	INCLUDE	2	2	OK	M	?	Ch03-PRSandPopulationStructure	
004	2025-12-22	Genetics of coronary artery disease: discovery, biology and clinical translation	Khera	2017	Nature Reviews Genetics	@khera_genome-wide_2017	INCLUDE	2	2	OK	M	?	Ch03-PRS	
005	2025-12-22	Genome-wide polygenic scores for common diseases identify individuals with risk equivalent to monogenic mutations	Khera	2018	Nature Genetics	@khera_genome-wide_2017	INCLUDE	2	3	OK	M	?	Ch03-PRS	
006	2025-12-22	Improved methods for multi-trait fine mapping of pleiotropic risk loci	Kichaev	2017	Bioinformatics	@kichaev_improved_2017	INCLUDE	2	2	OK	M	?	Ch03-PRS	
007	2025-12-22	Towards clinical utility of polygenic risk scores	Lambert	2019	Human Molecular Genetics	@lambert_polygenic_2019	INCLUDE	1	2	OK	M	?	Ch03-PRSandPopulationStructure	
008	2025-12-22	Finding the missing heritability of complex diseases	Manolio	2009	Nature	@manolio_finding_2009	INCLUDE	2	3	OK	M	+	Ch03-PRS	
009	2025-12-22	Multiethnic polygenic risk scores improve risk prediction in diverse populations	Marquez-Luna	2017	Genetic Epidemiology	@marquez-luna_multiethnic_2017	INCLUDE	1	3	OK	M	?	Ch03-PRS	
010	2025-12-22	Clinical use of current polygenic risk scores may exacerbate health disparities	Martin	2019	Nature Genetics	@martin_clinical_2019	INCLUDE	2	2	OK	M	?	Ch03-PRS	
011	2025-12-22	Polygenic Risk Scores for Prediction of Breast Cancer and Breast Cancer Subtypes	Mavaddat	2019	The American Journal of Human Genetics	@mavaddat_polygenic_2019	INCLUDE	1	2	OK	M	?	Ch03-PRSandPopulationStructure	
012	2025-12-22	An open approach to systematically prioritize causal variants and genes at all published human {GWAS} trait-associated loci	Mountjoy	2021	Nature Genetics	@mountjoy_open_2021	INCLUDE	2	3	OK	M	?	Ch03-PRS	
013	2025-12-22	Population {Structure} and {Eigenanalysis}	Patterson	2006	PLOS Genetics	@patterson_population_2006	INCLUDE	2	3	OK	M	+	Ch03-PRSandPopulationStructure	
014	2025-12-22	Estimation of the multiple testing burden for genomewide association studies of nearly all common variants	Pe'er	2008	Genetic Epidemiology	@peer_estimation_2008	INCLUDE	1	3	OK	M	+	Ch03-PRS	
015	2025-12-22	Principal components analysis corrects for stratification in genome-wide association studies	Price	2006	Nature Genetics	@price_pca_2006	INCLUDE	2	3	OK	M	+	Ch03-PRSandPopulationStructure	
016	2025-12-22	The future of genetic studies of complex human diseases	Risch	1996	Science	@risch_future_1996	INCLUDE	2	2	OK	M	+	Ch03-PRS	
017	2025-12-22	The personal and clinical utility of polygenic risk scores	Torkamani	2018	Nature Reviews Genetics	@torkamani_personal_2018	INCLUDE	2	3	OK	M	?	Ch03-PRS	
018	2025-12-22	Modeling {Linkage} {Disequilibrium} {Increases} {Accuracy} of {Polygenic} {Risk} {Scores}	Vilhjálmsson	2015	American Journal of Human Genetics	@vilhjalmsson_modeling_2015	INCLUDE	1	2	OK	M	+	Ch03-PRS	
019	2025-12-22	Heritability in the genomics era — concepts and misconceptions	Visscher	2008	Nature Reviews Genetics	@visscher_heritability_2008	INCLUDE	2	2	OK	M	+	Ch03-PRSandPopulationStructure	
020	2025-12-22	Common {SNPs} explain a large proportion of the heritability for human height	Yang	2010	Nature Genetics	@yang_common_2010	INCLUDE	2	3	OK	M	+	Ch03-PRS	
021	2025-12-22	A saturated map of common genetic variants associated with human height	Yengo	2022	Nature	@yengo_meta-analysis_2022	INCLUDE	2	2	OK	M	?	Ch03-PRS	
