ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Ji	2021	Bioinformatics	ji_dnabert_2021	INCLUDE	2	2	OK	M	+	Ch05 (genomic sequence modeling)	
2	2025-12-22	Life-Code: Central Dogma Modeling with Multi-Omics Sequence Unification	Liu	2025		liu_life-code_2025	MONITOR	1	1	OK	M	?	Ch05	Preprint (arXiv 2025); no journal/conference version found.
3	2025-12-22	BioToken and BioFM – Biologically-Informed Tokenization Enables Accurate and Efficient Genomic Foundation Models	Medvedev	2025		medvedev_biotoken_2025	MONITOR	2	2	OK	M	?	Ch05 (genomic sequence modeling)	Preprint (bioRxiv 2025) with code/checkpoints released.
4	2025-12-22	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Nguyen	2023		nguyen_hyenadna_2023	INCLUDE	2	2	OK	H	+	Ch05 (genomic sequence modeling)	NeurIPS 2023 (same title).
5	2025-12-22	[GROVER] DNA language model GROVER learns sequence context in the human genome	Sanabria	2024	Nature Machine Intelligence	sanabria_grover_2024	INCLUDE	2	2	OK	M	?	Ch05 (genomic sequence modeling)	
6	2025-12-22	Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling	Schiff	2024		schiff_caduceus_2024	INCLUDE	2	2	OK	H	+	Ch05 (genomic sequence modeling)	ICML 2024 (same title).
7	2025-12-22	DNABERT-2: Efficient Foundation Model and Benchmark For Multi-Species Genome	Zhou	2024		zhou_dnabert-2_2024	INCLUDE	2	2	OK	H	+	Ch05 (genomic sequence modeling)	ICLR 2024 (same title).
8	2025-12-22	GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics	Zvyagin	2022		zvyagin_genslms_2022	INCLUDE	2	2	OK	M	+	Ch05 (genomic sequence modeling)	Preprint (bioRxiv 2022); no clear journal/conference version found.
9	2026-01-06	A New Algorithm for Data Compression	Gage	1994	C Users Journal	gage_bpe_1994	INCLUDE	N/A	N/A	OK	L	+	Ch05 (BPE algorithm)	Foundational paper; original BPE algorithm for data compression.
10	2026-01-06	Neural Machine Translation of Rare Words with Subword Units	Sennrich	2016	ACL	sennrich_bpe_2016	INCLUDE	N/A	N/A	OK	M	+	Ch05 (BPE tokenization)	Adapted BPE for NLP; highly influential for modern tokenization.
11	2026-01-06	Mamba: Linear-Time Sequence Modeling with Selective State Spaces	Gu	2023	arXiv	gu_mamba_2023	INCLUDE	2	2	OK	H	+	Ch05 (sub-quadratic architectures)	Foundational for sub-quadratic sequence modeling; used by HyenaDNA successors.
12	2026-01-06	Efficiently Modeling Long Sequences with Structured State Spaces	Gu	2022	ICLR	gu_s4_2022	INCLUDE	2	2	OK	H	+	Ch05 (state space models)	S4 paper; ICLR 2022 Outstanding Paper Honorable Mention.
13	2026-01-06	The Evaluation of Tools Used to Predict the Impact of Missense Variants Is Hindered by Two Types of Circularity	Grimm	2015	Human Mutation	grimm_evaluation_2015	INCLUDE	3	3	OK	H	+	Ch05 (circularity)	Foundational paper defining Type 1 (train/test overlap) and Type 2 (features from labels) circularity.
