ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	[Enformer] Effective gene expression prediction from sequence by integrating long-range interactions	Avsec	2021	Nature Methods	avsec_enformer_2021	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
2	2025-12-22	[DeepSEA Sei] A sequence-based global map of regulatory activity for deciphering human genetics	Chen	2022	Nature Genetics	chen_deepsea_2022	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
3	2025-12-22	[AlphaMissense] Accurate proteome-wide missense variant effect prediction with AlphaMissense	Cheng	2023	Science	cheng_alphamissense_2023	INCLUDE	1	3	OK	H	+	Ch10 (genomic sequence modeling)	
4	2025-12-22	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Dalla-Torre	2023	Nature Methods	dalla-torre_nucleotide_2023	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
5	2025-12-22	An empirical analysis of compute-optimal large language model training		2022		hoffmann_chinchilla_2022	CITED	1	1	OK	M	?	Ch10	No DOI/URL in BibTeX
6	2025-12-22	LoRA: Low-Rank Adaptation of Large Language Models		2021		hu_lora_2021	CITED	2	1	OK	L	?	Ch10 (methods background)	
7	2025-12-22	[SpliceAI] Predicting Splicing from Primary Sequence with Deep Learning	Jaganathan	2019	Cell	jaganathan_spliceai_2019	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
8	2025-12-22	DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Ji	2021	Bioinformatics	ji_dnabert_2021	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
9	2025-12-22	Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning	Li	2025		li_omnidna_2025	MONITOR	1	1	OVER	M	?	Ch10 (genomic sequence modeling)	NeurIPS 2025 (Omni-DNA).
10	2025-12-22	[ESM-2] Language models of protein sequences at the scale of evolution enable accurate structure prediction	Lin	2022		lin_esm-2_2022	INCLUDE	2	2	OK	M	+	Ch10 (protein models/variant effects)	Science (2023) via ESMFold/ESM-2 line of work.
11	2025-12-22	BioToken and BioFM – Biologically-Informed Tokenization Enables Accurate and Efficient Genomic Foundation Models	Medvedev	2025		medvedev_biotoken_2025	MONITOR	2	2	OK	M	?	Ch10 (genomic sequence modeling)	Preprint (bioRxiv 2025) with code/checkpoints released.
12	2025-12-22	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Nguyen	2023		nguyen_hyenadna_2023	INCLUDE	2	2	OK	H	+	Ch10 (genomic sequence modeling)	NeurIPS 2023 (same title).
13	2025-12-22	CADD: predicting the deleteriousness of variants throughout the human genome	Rentzsch	2019	Nucleic Acids Research	rentzsch_cadd_2019	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
14	2025-12-22	[ESM-1b] Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences	Rives	2021	Proceedings of the National Academy of Sciences of the United States of America	rives_esm_2021	INCLUDE	2	2	OK	M	+	Ch10 (protein models/variant effects)	
15	2025-12-22	[GROVER] DNA language model GROVER learns sequence context in the human genome	Sanabria	2024	Nature Machine Intelligence	sanabria_grover_2024	INCLUDE	2	2	OK	M	?	Ch10 (genomic sequence modeling)	
16	2025-12-22	CADD v1.7: using protein language models, regulatory CNNs and other nucleotide-level scores to improve genome-wide variant predictions	Schubach	2024	Nucleic Acids Research	schubach_cadd_2024	INCLUDE	2	2	OK	M	?	Ch10 (genomic sequence modeling)	
17	2025-12-22	[DeepSEA] Predicting effects of noncoding variants with deep learning–based sequence model	Zhou	2015	Nature Methods	zhou_deepsea_2015	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
18	2025-12-22	DNABERT-2: Efficient Foundation Model and Benchmark For Multi-Species Genome	Zhou	2024		zhou_dnabert-2_2024	INCLUDE	2	2	OK	H	+	Ch10 (genomic sequence modeling)	ICLR 2024 (same title).
19	2025-12-22	[Expecto] Deep learning sequence-based ab initio prediction of variant effects on expression and disease risk	Zhou	2018	Nature Genetics	zhou_expecto_2018	INCLUDE	2	2	OK	M	+	Ch10 (genomic sequence modeling)	
