ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
001	2025-12-22	Fast two-stage phasing of large-scale sequence data	Browning	2021	Am J Hum Genet	@browning_beagle_2021	INCLUDE	3	3	OK	H	+	Ch01-HaplotypePhasing/Imputation	Two-stage phasing; cohort-scale speed/accuracy evidence
002	2025-12-22	UK Biobank resource w/ deep phenotyping & genomic data	Bycroft	2018	Nature	@bycroft_ukbiobank_2018	INCLUDE	2	2	OK	M	+	Ch01-CohortCalling/GLnexus	Canonical biobank-scale cohort + QC/imputation context
003	2025-12-22	Multicenter ONT genotyping accuracy & reproducibility	Dabernig-Heinz	2024	J Clin Microbiol	@dabernig_ont_2024	INCLUDE	2	3	OK	H	?	Ch01-LongReadTech	Multi-lab ONT study; strain-specific errors; mitigations via models/polish
004	2025-12-22	Framework for variation discovery & genotyping (NGS)	DePristo	2011	Nat Genet	@depristo_gatk_2011	INCLUDE	2	3	OK	H	+	Ch01-ClassicalPipelines/CohortFiltering	Foundational pipeline stages + validation across technologies/designs
005	2025-12-22	Variation graph toolkit improves read mapping (vg)	Garrison	2018	Nat Biotechnol	@garrison_vgtool_2018	INCLUDE	3	3	OK	H	+	Ch01-HLA/ComplexRegions	Graph references reduce mapping bias; practical human-scale toolkit
006	2025-12-22	Coming of age: ten years of next-generation sequencing technologies	Goodwin	2016	Nat Rev Genet	@goodwin_10year_2016	INCLUDE	1	1-2	OK	H	?	Ch01-NGSChallenge	High-level tech evolution + limitations; good framing citation
007	2025-12-22	Long-read-based human genomic structural variation detection with cuteSV	Jiang	2020	Genome Biology	@jiang_cutesv_2020	INCLUDE	3	2-3	OK	H	?	Ch01-LongReadSV	cuteSV signatures + clustering/refinement; benchmarked on sim+real data
008	2025-12-22	Mutational constraint spectrum from variation in 141,456 humans (gnomAD)	Karczewski	2020	Nature	@karczewski_gnomad_2020	INCLUDE	2	3	OK (caution)	H	+	Ch01-PopResources/Interpretation	Constraint metrics; addendum highlights pLoF artefact risk and need for curation
009	2025-12-22	Best practices for benchmarking germline small-variant calls in human genomes	Krusche	2019	Nat Biotechnol	@krusche_happy_2019	INCLUDE	3	3	OK	H	+	Ch01-Evaluation/Benchmarks	GA4GH benchmarking framework; standard metrics/stratification; hap.py ecosystem
010	2025-12-22	Aligning sequence reads, clone sequences and assembly contigs with BWA-MEM	Li	2013	arXiv	@li_bwa-mem_2013	INCLUDE	3	2	OK	H	+	Ch01-Alignment	SMEM seeding + re-seeding; banded affine-gap DP; chimeric/PE rescue; sim benchmarking + runtimes
011	2025-12-22	Towards {Better} {Understanding} of {Artifacts} in {Variant} {Calling} from {High}-{Coverage} {Samples}	Li	2014	Bioinformatics	@li_mapping_2014	INCLUDE	3	2	OK	M	?	Ch01-Foundations	Published in Bioinformatics (2014); arXiv version also exists.
012	2025-12-22	Minimap2: pairwise alignment for nucleotide sequences	Li	2018	Bioinformatics	@li_minimap2_2018	INCLUDE	3	2	OK	M	?	Ch01-Alignment	
013	2025-12-22	A draft human pangenome reference	Liao	2023	Nature	@liao_pangenome_2023	INCLUDE	3	3	OK	H	+	Ch01-Foundations	
014	2025-12-22	Reference-based phasing using the {Haplotype} {Reference} {Consortium} panel	Loh	2016	Nature Genetics	@loh_eagle_2016	INCLUDE	3	3	OK	H	+	Ch01-Phasing	
015	2025-12-22	{HLA}-{B}*5701 {Screening} for {Hypersensitivity} to {Abacavir}	Mallal	2008	New England Journal of Medicine	@mallal_abacavir_2008	INCLUDE	1	3	OK	M	+	Ch01-Foundations	
016	2025-12-22	Genotype and {SNP} calling from next-generation sequencing data	Nielsen	2011	Nature Reviews. Genetics	@nielsen_error_2011	INCLUDE	2	2	OK	M	+	Ch01-Foundations	
017	2025-12-22	{PacificBiosciences}/pbsv	Unknown	2025	PacBio	@noauthor_pbsv_2025	INCLUDE	3	2	OK	M	?	Ch01-StructuralVariants	
018	2025-12-22	{RealTimeGenomics}/rtg-core	Unknown	2025	Real Time Genomics	@noauthor_rtg-core_2025	INCLUDE	3	2	OK	M	?	Ch01-Foundations	
019	2025-12-22	The complete sequence of a human genome	Nurk	2022	Science	@nurk_complete_2022	INCLUDE	2	3	OK	M	?	Ch01-Foundations	
020	2025-12-22	A {General} {Approach} for {Haplotype} {Phasing} across the {Full} {Spectrum} of {Relatedness}	O'Connell	2014	PLOS Genetics	@oconnell_shapeit2_2014	INCLUDE	3	3	OK	M	+	Ch01-Phasing	
021	2025-12-22	[{DeepVariant}] {A} universal {SNP} and small-indel variant caller using deep neural networks	Poplin	2018	Nature Biotechnology	@poplin_deepvariant_2018	INCLUDE	2	2	OK	M	?	Ch01-VariantCallingDL	
022	2025-12-22	{IPD}-{IMGT}/{HLA} {Database}	Robinson	2020	Nucleic Acids Research	@robinson_hla-db_2020	INCLUDE	3	3	OK	H	+	Ch01-Foundations	
023	2025-12-22	Tutorial: a statistical genetics guide to identifying {HLA} alleles driving complex disease	Sakaue	2023	Nature Protocols	@sakaue_hla_2023	INCLUDE	3	3	OK	M	?	Ch01-Foundations	
024	2025-12-22	Haplotype-aware variant calling with {PEPPER}-{Margin}-{DeepVariant} enables high accuracy in nanopore long-reads	Shafin	2021	Nature Methods	@shafin_pepper_2021	INCLUDE	3	2	OK	M	?	Ch01-VariantCallingDL	
025	2025-12-22	Detection of mosaic and population-level structural variants with {Sniffles2}	Smolka	2024	Nature Biotechnology	@smolka_sniffles2_2024	INCLUDE	3	3	OK	M	?	Ch01-StructuralVariants	
026	2025-12-22	{T1K}: efficient and accurate {KIR} and {HLA} genotyping with next-generation sequencing data	Song	2023	Genome Res	@song_t1k_2022	INCLUDE	1	3	OK	M	?	Ch01-Foundations	Published version: Genome Research 2023 (doi:10.1101/gr.277585.122).
027	2025-12-22	From {FastQ} {Data} to {High}-{Confidence} {Variant} {Calls}: {The} {Genome} {Analysis} {Toolkit} {Best} {Practices} {Pipeline}	Van der Auwera	2018	Current Protocols in Bioinformatics	@van_der_auwera_gatk_best_2018	INCLUDE	3	2	OK	M	?	Ch01-Foundations	
028	2025-12-22	Accurate circular consensus long-read sequencing improves variant detection and assembly of a human genome	Wenger	2019	Nature Biotechnology	@wenger_pacbiohifi_2019	INCLUDE	2	3	OK	M	?	Ch01-Foundations	
029	2025-12-22	Accurate, scalable cohort variant calls using {DeepVariant} and {GLnexus}	Yun	2021	Bioinformatics	@yun_accurate_2021	INCLUDE	3	3	OK	M	?	Ch01-Foundations	
030	2025-12-22	Symphonizing pileup and full-alignment for deep learning-based long-read variant calling	Zheng	2022	Nature Computational Science	@zheng_clair3_2022	INCLUDE	3	2	OK	M	?	Ch01-VariantCallingDL	
031	2025-12-22	An open resource for accurately benchmarking small variant and reference calls	Zook	2019	Nature biotechnology	@zook_giab_2019	INCLUDE	3	3	OK	H	+	Ch01-Resources	
