ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	[Enformer] Effective gene expression prediction from sequence by integrating long-range interactions	Avsec	2021	Nature Methods	avsec_enformer_2021	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
2	2025-12-22	Placeholder: ben-david theory 2010		2010		ben-david_theory_2010	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
3	2025-12-22	Placeholder: brown language 2020		2020		brown_language_2020	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
4	2025-12-22	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Dalla-Torre	2023	Nature Methods	dalla-torre_nucleotide_2023	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
5	2025-12-22	Placeholder: finn model-agnostic 2017		2017		finn_model-agnostic_2017	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
6	2025-12-22	Placeholder: gaedigk pharmacogene 2018		2018		gaedigk_pharmacogene_2018	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	No DOI/URL in BibTeX
7	2025-12-22	Placeholder: ganin domain-adversarial 2016		2016		ganin_domain-adversarial_2016	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
8	2025-12-22	Placeholder: houlsby parameter-efficient 2019		2019		houlsby_parameter-efficient_2019	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
9	2025-12-22	Placeholder: howard universal 2018		2018		howard_universal_2018	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
10	2025-12-22	Placeholder: hu lora 2021		2021		hu_lora_2021	CITED	2	1	OK	L	?	Ch09 (methods background)	No DOI/URL in BibTeX
11	2025-12-22	Placeholder: jawahar what 2019		2019		jawahar_what_2019	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
12	2025-12-22	DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Ji	2021	Bioinformatics	ji_dnabert_2021	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
13	2025-12-22	Cross-species regulatory sequence activity prediction	Kelley	2020	PLOS Computational Biology	kelley_cross-species_2020	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
14	2025-12-22	A general framework for estimating the relative pathogenicity of human genetic variants	Kircher	2014	Nature Genetics	kircher_general_2014	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
15	2025-12-22	ClinVar: improving access to variant interpretations and supporting evidence	Landrum	2018	Nucleic Acids Research	landrum_clinvar_2018	INCLUDE	2	2	OK	M	+	Ch09 (genomic sequence modeling)	
16	2025-12-22	Placeholder: lee pre-training 2020		2020		lee_pre-training_2020	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
17	2025-12-22	Placeholder: li prefix-tuning 2021		2021		li_prefix-tuning_2021	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
18	2025-12-22	Placeholder: mccloskey catastrophic 1989		1989		mccloskey_catastrophic_1989	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
19	2025-12-22	Placeholder: meier language 2021		2021		meier_esm-1v_2021	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
20	2025-12-22	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Nguyen	2023		nguyen_hyenadna_2023	INCLUDE	2	2	OK	H	+	Ch09 (genomic sequence modeling)	NeurIPS 2023 (same title).
21	2025-12-22	Placeholder: rieke future 2020		2020		rieke_future_2020	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
22	2025-12-22	Placeholder: rives biological 2021		2021		rives_biological_2021	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
23	2025-12-22	Placeholder: snell prototypical 2017		2017		snell_prototypical_2017	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
24	2025-12-22	UniRef: comprehensive and non-redundant UniProt reference clusters	Suzek	2007	Bioinformatics	suzek_uniref_2007	CITED	1	1	OK	M	?	Ch09	
25	2025-12-22	Placeholder: wang characterizing 2019		2019		wang_characterizing_2019	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
26	2025-12-22	Placeholder: wang tent 2021		2021		wang_tent_2021	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
27	2025-12-22	Placeholder: zaken bitfit 2022		2022		zaken_bitfit_2022	CITED	1	1	OK	M	?	Ch09	No DOI/URL in BibTeX
