ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification		2023		angelopoulos_conformal_2023	CITED	2	1	OK	L	?	Ch14 (methods background)	No DOI/URL in BibTeX
2	2025-12-22	AlphaGenome: AI for better understanding the genome	Avsec	2025	Google DeepMind	avsec_alphagenome_2025	MONITOR	1	1	OVER	M	?	Ch14 (genomic sequence modeling)	
3	2025-12-22	[Enformer] Effective gene expression prediction from sequence by integrating long-range interactions	Avsec	2021	Nature Methods	avsec_enformer_2021	INCLUDE	2	2	OK	M	+	Ch14 (genomic sequence modeling)	
4	2025-12-22	GPN-MSA: an alignment-based DNA language model for genome-wide variant effect prediction	Benegas	2024	bioRxiv	benegas_gpn-msa_2024	MONITOR	2	2	OK	M	?	Ch14 (genomic sequence modeling)	Nature Biotechnology (2025).
5	2025-12-22	[Evo 2] Genome modeling and design across all domains of life with Evo 2	Brixi	2025		brixi_evo_2025	MONITOR	3	1	OK	M	?	Ch14 (genomic sequence modeling)	Preprint (bioRxiv 2025); no journal/conference version found.
6	2025-12-22	A sequence-based global map of regulatory activity for human enhancer–gene interactions (SEI)		2022		chen_sei_2022	INCLUDE	2	2	OK	M	+	Ch14 (genomic sequence modeling)	No DOI/URL in BibTeX
7	2025-12-22	[AlphaMissense] Accurate proteome-wide missense variant effect prediction with AlphaMissense	Cheng	2023	Science	cheng_alphamissense_2023	INCLUDE	1	3	OK	H	+	Ch14 (genomic sequence modeling)	
8	2025-12-22	[EVE] Disease variant prediction with deep generative models of evolutionary data	Frazer	2021	Nature	frazer_eve_2021	INCLUDE	2	2	OK	M	+	Ch14 (genomic sequence modeling)	
9	2025-12-22	On Calibration of Modern Neural Networks		2017		guo_calibration_2017	CITED	3	2	OK	H	+	Ch14 (methods background)	No DOI/URL in BibTeX
10	2025-12-22	Predicting splicing from primary sequence with deep learning (SpliceAI)		2019		jaganathan_spliceai_2019	INCLUDE	2	2	OK	M	+	Ch14 (genomic sequence modeling)	No DOI/URL in BibTeX
11	2025-12-22	[ESM-1v] Language models enable zero-shot prediction of the effects of mutations on protein function	Meier	2021		meier_esm-1v_2021	INCLUDE	2	2	OK	M	+	Ch14 (protein models/variant effects)	NeurIPS 2021 (same title).
12	2025-12-22	[popEVE] Proteome-wide model for human disease genetics	Orenbuch	2025	Nature Genetics	orenbuch_popeve_2025	INCLUDE	1	3	OK	M	+	Ch14 (genomic sequence modeling)	
13	2025-12-22	Standards and guidelines for the interpretation of sequence variants (ACMG/AMP)		2015		richards_standards_2015	CITED	1	3	OK	H	+	Ch14 (genomic sequence modeling)	No DOI/URL in BibTeX
