ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
001	2025-12-22	A method and server for predicting damaging missense mutations	Adzhubei	2010	Nature Methods	@adzhubei_polyphen_2010	INCLUDE	2	2	OK	M	+	Ch04-InSilicoVariantScores	
002	2025-12-22	Identifying a {High} {Fraction} of the {Human} {Genome} to be under {Selective} {Constraint} {Using} {GERP}++	Davydov	2010	PLOS Computational Biology	@davydov_gerp_2010	INCLUDE	2	2	OK	M	+	Ch04-InSilicoVariantScores	
003	2025-12-22	{REVEL}: {An} {Ensemble} {Method} for {Predicting} the {Pathogenicity} of {Rare} {Missense} {Variants}	Ioannidis	2016	The American Journal of Human Genetics	@ioannidis_revel_2016	INCLUDE	1	2	OK	M	?	Ch04-InSilicoVariantScores	
004	2025-12-22	M-CAP eliminates a majority of variants of uncertain significance in clinical exomes at high sensitivity	Jagadeesh	2016	Nature Genetics	@jagadeesh_m-cap_2016	INCLUDE	2	2	OK	M	?	Ch04-InSilicoVariantScores	
005	2025-12-22	A general framework for estimating the relative pathogenicity of human genetic variants	Kircher	2014	Nature Genetics	@kircher_general_2014	INCLUDE	2	2	OK	M	+	Ch04-VariantInterpretation	
006	2025-12-22	{SIFT}: {Predicting} amino acid changes that affect protein function	Ng	2003	Nucleic Acids Research	@ng_sift_2003	INCLUDE	1	2	OK	M	+	Ch04-InSilicoVariantScores	
007	2025-12-22	{CADD}: predicting the deleteriousness of variants throughout the human genome	Rentzsch	2019	Nucleic Acids Research	@rentzsch_cadd_2019	INCLUDE	1	3	OK	M	?	Ch04-InSilicoVariantScores	
008	2025-12-22	Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology	Richards	2015	Genetics in Medicine	@richards_standards_2015	INCLUDE	3	3	OK	H	+	Ch04-ACMGGuidelines	
009	2025-12-22	[{PhastCons}] {Evolutionarily} conserved elements in vertebrate, insect, worm, and yeast genomes	Siepel	2005	Genome Research	@siepel_phastcons_2005	INCLUDE	2	3	OK	M	+	Ch04-InSilicoVariantScores
010	2026-01-06	Exploring the genesis and functions of Human Accelerated Regions sheds light on their role in human evolution	Hubisz	2014	Current Opinion in Genetics & Development	@hubisz_exploring_2014	INCLUDE	3	2	OK	M	+	Ch04-Conservation	Review of HARs and human-specific functional sequences
011	2026-01-06	CADD-Splice—improving genome-wide variant effect prediction using deep learning-derived splice scores	Rentzsch	2021	Genome Medicine	@rentzsch_cadd-splice_2021	INCLUDE	2	2	OK	M	+	Ch04-CADD	Describes logistic regression model and v1.6 improvements
012	2026-01-06	CADD v1.7: using protein language models, regulatory CNNs and other nucleotide-level scores to improve genome-wide variant predictions	Schubach	2024	Nucleic Acids Research	@schubach_cadd_2024	INCLUDE	2	2	OK	H	+	Ch04-CADD	Latest CADD with PLM and deep learning features
013	2026-01-06	Amino acid difference formula to help explain protein evolution	Grantham	1974	Science	@grantham_amino_1974	INCLUDE	3	3	OK	H	+	Ch04-ProteinPredictors	Classic paper defining Grantham distance
014	2026-01-06	Analysis of protein-coding genetic variation in 60,706 humans	Lek	2016	Nature	@lek_analysis_2016	INCLUDE	2	3	OK	H	+	Ch04-CADD	ExAC paper introducing pLI constraint metric
015	2026-01-06	The mutational constraint spectrum quantified from variation in 141,456 humans	Karczewski	2020	Nature	@karczewski_mutational_2020	INCLUDE	2	3	OK	H	+	Ch04-CADD	gnomAD paper introducing LOEUF metric
