ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
001	2025-12-22	{OMIM}.org: {Online} {Mendelian} {Inheritance} in {Man} ({OMIM}®), an online catalog of human genes and genetic disorders	Amberger	2015	Nucleic Acids Research	@amberger_omim_2015	INCLUDE	3	3	OK	H	+	Ch02-Resources	
002	2025-12-22	A global reference for human genetic variation	Auton	2015	Nature	@auton_1kgp_2015	INCLUDE	3	3	OK	H	+	Ch02-PopulationResources	
003	2025-12-22	[{TraitGym}] {Benchmarking} {DNA} {Sequence} {Models} for {Causal} {Regulatory} {Variant} {Prediction} in {Human} {Genetics}	Benegas	2025	bioRxiv	@benegas_traitgym_2025	MONITOR	3	3	OK (preprint)	H	?	Ch02-SequenceToFunctionModels	Preprint; benchmark study. Re-check for journal publication.
004	2025-12-22	The {UK} {Biobank} resource with deep phenotyping and genomic data	Bycroft	2018	Nature	@bycroft_uk_2018	INCLUDE	3	3	OK	H	+	Ch02-PopulationResources	
005	2025-12-22	Gene {Expression} {Omnibus}: {NCBI} gene expression and hybridization array data repository	Edgar	2002	Nucleic Acids Research	@edgar_geo_2002	INCLUDE	1	2	OK	M	+	Ch02-FunctionalGenomicsResources	
006	2025-12-22	LOVD v.2.0: the next generation in gene variant databases	Fokkema	2011	Human Mutation	@fokkema_lovd_2011	INCLUDE	3	3	OK	H	+	Ch02-Resources	
007	2025-12-22	{GENCODE} reference annotation for the human and mouse genomes	Frankish	2019	Nucleic Acids Research	@frankish_gencode_2019	INCLUDE	3	3	OK	H	+	Ch02-FunctionalGenomicsResources	
008	2025-12-22	A gene-based association method for mapping traits using reference transcriptome data	Gamazon	2015	Nature Genetics	@gamazon_predixcan_2015	INCLUDE	3	3	OK	H	+	Ch02-GeneExpressionImputation	
009	2025-12-22	The {GTEx} {Consortium} atlas of genetic regulatory effects across human tissues	Consortium}	2020	Science	@gtex_2020	INCLUDE	3	3	OK	H	+	Ch02-FunctionalGenomicsResources	
010	2025-12-22	Sequence variants from whole genome sequencing a large group of Icelanders	Gudbjartsson	2015	Scientific Data	@gudbjartsson_decode_2015	INCLUDE	1	2	OK	M	+	Ch02-PopulationResources	
011	2025-12-22	Integrative approaches for large-scale transcriptome-wide association studies	Gusev	2016	Nature Genetics	@gusev_twas_2016	INCLUDE	2	3	OK	M	?	Ch02-GeneExpressionImputation	
012	2025-12-22	Data navigation on the {ENCODE} portal	Kagda	2025	Nature Communications	@kagda_encode_2025	INCLUDE	3	3	OK	H	+	Ch02-FunctionalGenomicsResources	
013	2025-12-22	The mutational constraint spectrum quantified from variation in 141,456 humans	Karczewski	2020	Nature	@karczewski_mutational_2020	INCLUDE	2	3	OK	M	?	Ch02-PopulationResources	
014	2025-12-22	Integrative analysis of 111 reference human epigenomes	Kundaje	2015	Nature	@kundaje_roadmap_2015	INCLUDE	3	3	OK	H	+	Ch02-FunctionalGenomicsResources	
015	2025-12-22	{FinnGen} provides genetic insights from a well-phenotyped isolated population	Kurki	2023	Nature	@kurki_finngen_2023	INCLUDE	3	3	OK	H	+	Ch02-PopulationResources	
016	2025-12-22	The {Polygenic} {Score} {Catalog} as an open database for reproducibility and systematic evaluation	Lambert	2021	Nature Genetics	@lambert_pgs-catalog_2021	INCLUDE	3	3	OK	H	+	Ch02-Resources	
017	2025-12-22	{ClinVar}: improving access to variant interpretations and supporting evidence	Landrum	2018	Nucleic Acids Research	@landrum_clinvar_2018	INCLUDE	1	2	OK	M	?	Ch02-Resources	
018	2025-12-22	A draft human pangenome reference	Liao	2023	Nature	@liao_draft_2023	INCLUDE	3	3	OK	H	+	Ch02-Resources	
019	2025-12-22	[{GWAS}] {A} tutorial on conducting genome-wide association studies: {Quality} control and statistical analysis	Marees	2018	International Journal of Methods in Psychiatric Research	@marees_gwas_2018	INCLUDE	3	3	OK	M	?	Ch02-Resources	
020	2025-12-22	A joint {NCBI} and {EMBL}-{EBI} transcript set for clinical genomics and research	Morales	2022	Nature	@morales_mane_2022	INCLUDE	2	2	OK	M	?	Ch02-Resources	
021	2025-12-22	An open approach to systematically prioritize causal variants and genes at all published human {GWAS} trait-associated loci	Mountjoy	2021	Nature Genetics	@mountjoy_open_2021	INCLUDE	2	3	OK	M	?	Ch02-Resources	
022	2025-12-22	{ProteinGym}: {Large}-{Scale} {Benchmarks} for {Protein} {Fitness} {Prediction} and {Design}	Notin	2023	Advances in Neural Information Processing Systems	@notin_proteingym_2023	INCLUDE	3	3	OK	H	+	Ch02-Resources	
023	2025-12-22	The “{All} of {Us}” {Research} {Program}	Investigators	2019	New England Journal of Medicine	@null_all-of-us_2019	INCLUDE	1	3	OK	M	?	Ch02-Resources	
024	2025-12-22	The complete sequence of a human genome	Nurk	2022	Science	@nurk_complete_2022	INCLUDE	2	3	OK	M	?	Ch02-Resources	
025	2025-12-22	Reference sequence ({RefSeq}) database at {NCBI}: current status, taxonomic expansion, and functional annotation	O'Leary	2016	Nucleic Acids Research	@oleary_refseq_2016	INCLUDE	3	3	OK	H	+	Ch02-Resources	
026	2025-12-22	Calibration of computational tools for missense variant pathogenicity classification and {ClinGen} recommendations for {PP3}/{BP4} criteria	Pejaver	2022	American Journal of Human Genetics	@pejaver_calibration_2022	INCLUDE	3	3	OK	H	+	Ch02-Resources	
027	2025-12-22	The {Human} {Cell} {Atlas}	Regev	2017	eLife	@regev_cell-atlas_2017	INCLUDE	3	3	OK	H	+	Ch02-Resources	
028	2025-12-22	{ClinGen} — {The} {Clinical} {Genome} {Resource}	Rehm	2015	New England Journal of Medicine	@rehm_clingen_2015	INCLUDE	3	3	OK	H	+	Ch02-Resources	
029	2025-12-22	{CADD}: predicting the deleteriousness of variants throughout the human genome	Rentzsch	2019	Nucleic Acids Research	@rentzsch_cadd_2019	INCLUDE	1	3	OK	M	?	Ch02-Resources	
030	2025-12-22	{CADD} v1.7: using protein language models, regulatory {CNNs} and other nucleotide-level scores to improve genome-wide variant predictions	Schubach	2024	Nucleic Acids Research	@schubach_cadd_2024	INCLUDE	1	3	OK	M	?	Ch02-SequenceToFunctionModels	
031	2025-12-22	{dbSNP}: the {NCBI} database of genetic variation	Sherry	2001	Nucleic Acids Research	@sherry_dbsnp_2001	INCLUDE	3	3	OK	H	+	Ch02-Resources	
032	2025-12-22	The {Missing} {Diversity} in {Human} {Genetic} {Studies}	Sirugo	2019	Cell	@sirugo_diversity_2019	INCLUDE	2	3	OK	M	?	Ch02-Resources	
033	2025-12-22	The {NHGRI}-{EBI} {GWAS} {Catalog}: knowledgebase and deposition resource	Sollis	2023	Nucleic Acids Research	@sollis_gwas-catalog_2023	INCLUDE	3	3	OK	H	+	Ch02-Resources	
034	2025-12-22	The Human Gene Mutation Database: towards a comprehensive repository of inherited mutation data for medical research, genetic diagnosis and next-generation sequencing studies	Stenson	2017	Human Genetics	@stenson_hgmd_2017	INCLUDE	3	3	OK	H	+	Ch02-Resources	
035	2025-12-22	Leveraging base-pair mammalian constraint to understand genetic variation and human disease	Sullivan	2023	Science	@sullivan_leveraging_2023	INCLUDE	2	2	OK	M	?	Ch02-Resources	
036	2025-12-22	The {Tabula} {Sapiens}: {A} multiple-organ, single-cell transcriptomic atlas of humans	Consortium}	2022	Science	@tabula_sapiens_2022	INCLUDE	3	3	OK	H	+	Ch02-Resources	
037	2025-12-22	Large-scale cis- and trans-{eQTL} analyses identify thousands of genetic loci and polygenic scores that regulate blood gene expression	Võsa	2021	Nature Genetics	@vosa_eqtl-gen_2021	INCLUDE	2	3	OK	M	?	Ch02-Resources	
038	2025-12-22	Pharmacogenomics {Knowledge} for {Personalized} {Medicine}	Whirl-Carrillo	2012	Clinical Pharmacology \& Therapeutics	@whirl-PharmGKB_2012	INCLUDE	1	2	OK	M	+	Ch02-Resources	
039	2025-12-22	Accurate, scalable cohort variant calls using {DeepVariant} and {GLnexus}	Yun	2021	Bioinformatics	@yun_accurate_2021	INCLUDE	3	3	OK	M	?	Ch02-SequenceToFunctionModels	
040	2025-12-22	Cistrome {Data} {Browser}: expanded datasets and new tools for gene regulatory analysis	Zheng	2019	Nucleic Acids Research	@zheng_cistrome_2019	INCLUDE	3	3	OK	H	+	Ch02-FunctionalGenomicsResources	
041	2025-12-22	[{DeepSEA}] {Predicting} effects of noncoding variants with deep learning–based sequence model	Zhou	2015	Nature Methods	@zhou_deepsea_2015	INCLUDE	2	3	OK	M	+	Ch02-SequenceToFunctionModels	
042	2025-12-22	[{Expecto}] {Deep} learning sequence-based ab initio prediction of variant effects on expression and disease risk	Zhou	2018	Nature Genetics	@zhou_expecto_2018	INCLUDE	3	3	OK	M	?	Ch02-SequenceToFunctionModels
043	2026-01-06	{UniProt}: the {Universal} {Protein} {Knowledgebase} in 2023	UniProt Consortium	2023	Nucleic Acids Research	@uniprot_2023	INCLUDE	3	3	OK	H	+	Ch02-ProteinDatabases	Foundational protein sequence resource
044	2026-01-06	{UniRef} clusters: a comprehensive and scalable alternative for improving sequence similarity searches	Suzek	2015	Bioinformatics	@suzek_uniref_2015	INCLUDE	3	3	OK	H	+	Ch02-ProteinDatabases	UniRef clustering for efficient model training
045	2026-01-06	Protein-level assembly increases protein sequence recovery from metagenomic samples manyfold	Steinegger	2019	Nature Methods	@steinegger_bfd_2019	INCLUDE	3	3	OK	H	+	Ch02-ProteinDatabases	BFD metagenomic protein database
046	2026-01-06	The {Protein} {Data} {Bank}	Berman	2000	Nucleic Acids Research	@berman_pdb_2000	INCLUDE	3	3	OK	H	+	Ch02-ProteinDatabases	Foundational protein structure archive
047	2026-01-06	{AlphaFold} {Protein} {Structure} {Database}: massively expanding the structural coverage of protein-sequence space with high-accuracy models	Varadi	2022	Nucleic Acids Research	@varadi_alphafold_2022	INCLUDE	3	3	OK	H	+	Ch02-ProteinDatabases	Predicted structures for all UniProt proteins
048	2026-01-06	[{AlphaFold2}] {Highly} accurate protein structure prediction with {AlphaFold}	Jumper	2021	Nature	@jumper_alphafold2_2021	INCLUDE	2	3	OK	H	+	Ch02-ProteinDatabases	AlphaFold2 structure prediction method
049	2026-01-06	Accuracy of {ICD}-9-{CM} codes for identifying cardiovascular and stroke risk factors	Birman-Deych	2005	Medical Care	@birman-deych_icd_2005	INCLUDE	2	3	OK	M	+	Ch02-PhenotypeQuality	ICD coding accuracy validation study
050	2026-01-06	Coding algorithms for defining comorbidities in {ICD}-9-{CM} and {ICD}-10 administrative data	Quan	2005	Medical Care	@quan_coding_2005	INCLUDE	3	3	OK	H	+	Ch02-PhenotypeQuality	Widely-used comorbidity coding algorithms
051	2026-01-06	Novel subgroups of adult-onset diabetes and their association with outcomes: a data-driven cluster analysis of six variables	Ahlqvist	2018	Lancet Diabetes Endocrinol	@ahlqvist_t2d-clusters_2018	INCLUDE	3	3	OK	H	+	Ch02-PhenotypeQuality	T2D subtype clustering landmark study
