ID	Date	Title	First_Author	Year	Venue	Cite_Key	Status	Repro	Valid	Claims	Pedagogy	Longevity	Book_Location	Notes
1	2025-12-22	Placeholder: cho learning 2014		2014		cho_learning_2014	CITED	1	1	OK	M	?	Ch06	No DOI/URL in BibTeX
2	2025-12-22	Placeholder: hochreiter long 1997		1997		hochreiter_long_1997	CITED	1	1	OK	M	?	Ch06	No DOI/URL in BibTeX
3	2025-12-22	[SpliceAI] Predicting Splicing from Primary Sequence with Deep Learning	Jaganathan	2019	Cell	jaganathan_spliceai_2019	INCLUDE	2	2	OK	M	+	Ch06 (genomic sequence modeling)	
4	2025-12-22	Data navigation on the ENCODE portal	Kagda	2025	Nature Communications	kagda_encode_2025	CITED	1	1	OK	M	?	Ch06	
5	2025-12-22	Placeholder: kelley basset 2016		2016		kelley_basset_2016	CITED	1	1	OK	M	?	Ch06	No DOI/URL in BibTeX
6	2025-12-22	Integrative analysis of 111 reference human epigenomes	Kundaje	2015	Nature	kundaje_roadmap_2015	INCLUDE	2	2	OK	M	+	Ch06 (genomic sequence modeling)	
7	2025-12-22	Placeholder: quang danq 2016		2016		quang_danq_2016	CITED	1	1	OK	M	?	Ch06	No DOI/URL in BibTeX
8	2025-12-22	Maximum Entropy Modeling of Short Sequence Motifs with Applications to RNA Splicing Signals	Yeo	2004	Journal of Computational Biology	yeo_maxentscan_2004	INCLUDE	2	2	OK	M	+	Ch06 (genomic sequence modeling)	
9	2025-12-22	[DeepSEA] Predicting effects of noncoding variants with deep learning–based sequence model	Zhou	2015	Nature Methods	zhou_deepsea_2015	INCLUDE	2	2	OK	M	+	Ch06 (genomic sequence modeling)	
10	2025-12-22	[Expecto] Deep learning sequence-based ab initio prediction of variant effects on expression and disease risk	Zhou	2018	Nature Genetics	zhou_expecto_2018	INCLUDE	2	2	OK	M	+	Ch06 (genomic sequence modeling)	
